iter	Passed	Remaining
1237	13673	2893
1238	13684	2882
1239	13695	2871
1240	13707	2860
1241	13719	2849
1242	13730	2838
1243	13740	2827
1244	13751	2816
1245	13762	2805
1246	13773	2794
1247	13784	2783
1248	13795	2772
1249	13806	2761
1250	13817	2750
1251	13828	2739
1252	13839	2728
1253	13849	2716
1254	13860	2705
1255	13871	2694
1256	13882	2683
1257	13893	2672
1258	13904	2661
1259	13914	2650
1260	13925	2639
1261	13936	2628
1262	13948	2617
1263	13959	2606
1264	13970	2595
1265	13981	2584
1266	13992	2573
1267	14003	2562
1268	14014	2551
1269	14025	2540
1270	14035	2528
1271	14046	2517
1272	14057	2506
1273	14068	2495
1274	14080	2484
1275	14091	2473
1276	14102	2462
1277	14113	2451
1278	14123	2440
1279	14135	2429
1280	14146	2418
1281	14157	2407
1282	14168	2396
1283	14178	2385
1284	14189	2374
1285	14200	2363
1286	14210	2351
1287	14221	2340
1288	14232	2329
1289	14242	2318
1290	14254	2307
1291	14265	2296
1292	14275	2285
1293	14285	2274
1294	14297	2263
1295	14308	2252
1296	14320	2241
1297	14331	2230
1298	14342	2219
1299	14352	2208
1300	14364	2197
1301	14375	2186
1302	14386	2175
1303	14397	2164
1304	14408	2152
1305	14419	2141
1306	14430	2130
1307	14441	2119
1308	14451	2108
1309	14463	2097
1310	14474	2086
1311	14485	2075
1312	14496	2064
1313	14507	2053
1314	14519	2042
1315	14530	2031
1316	14542	2020
1317	14552	2009
1318	14564	1998
1319	14576	1987
1320	14587	1976
1321	14598	1965
1322	14609	1954
1323	14620	1943
1324	14630	1932
1325	14641	1921
1326	14652	1910
1327	14663	1899
1328	14674	1888
1329	14685	1877
1330	14696	1866
1331	14707	1854
1332	14718	1843
1333	14728	1832
1334	14738	1821
1335	14749	1810
1336	14760	1799
1337	14771	1788
1338	14783	1777
1339	14793	1766
1340	14804	1755
1341	14815	1744
1342	14826	1733
1343	14838	1722
1344	14849	1711
1345	14859	1700
1346	14870	1689
1347	14880	1677
1348	14891	1666
1349	14902	1655
1350	14912	1644
1351	14923	1633
1352	14934	1622
1353	14944	1611
1354	14956	1600
1355	14967	1589
1356	14978	1578
1357	14989	1567
1358	15000	1556
1359	15011	1545
1360	15022	1534
1361	15034	1523
1362	15045	1512
1363	15056	1501
1364	15067	1490
1365	15077	1479
1366	15087	1467
1367	15098	1456
1368	15109	1445
1369	15120	1434
1370	15131	1423
1371	15141	1412
1372	15151	1401
1373	15161	1390
1374	15172	1379
1375	15183	1368
1376	15194	1357
1377	15205	1346
1378	15215	1335
1379	15226	1324
1380	15237	1312
1381	15248	1301
1382	15259	1290
1383	15270	1279
1384	15282	1268
1385	15293	1257
1386	15304	1246
1387	15316	1235
1388	15327	1224
1389	15338	1213
1390	15349	1202
1391	15360	1191
1392	15371	1180
1393	15383	1169
1394	15394	1158
1395	15405	1147
1396	15416	1136
1397	15428	1125
1398	15439	1114
1399	15449	1103
1400	15460	1092
1401	15470	1081
1402	15481	1070
1403	15492	1059
1404	15503	1048
1405	15514	1037
1406	15526	1026
1407	15537	1015
1408	15548	1004
1409	15558	993
1410	15569	982
1411	15580	971
1412	15591	960
1413	15603	948
1414	15613	937
1415	15624	926
1416	15635	915
1417	15646	904
1418	15656	893
1419	15667	882
1420	15677	871
1421	15688	860
1422	15699	849
1423	15710	838
1424	15721	827
1425	15732	816
1426	15742	805
1427	15753	794
1428	15763	783
1429	15774	772
1430	15785	761
1431	15796	750
1432	15807	739
1433	15819	728
1434	15829	717
1435	15840	705
1436	15850	694
1437	15861	683
1438	15872	672
1439	15883	661
1440	15894	650
1441	15906	639
1442	15917	628
1443	15928	617
1444	15939	606
1445	15949	595
1446	15961	584
1447	15972	573
1448	15983	562
1449	15994	551
1450	16005	540
1451	16016	529
1452	16027	518
1453	16038	507
1454	16049	496
1455	16060	485
1456	16072	474
1457	16083	463
1458	16094	452
1459	16105	441
1460	16116	430
1461	16126	419
1462	16137	408
